Partlist

Exported from ABK-ECS - Rev A2.brd at 2017-09-08 3:27 PM

EAGLE Version 7.7.0 Copyright (c) 1988-2016 CadSoft

Assembly variant: 

Part     Value            Package             Library                                      Position (mm)         Orientation
R85      4K7              R0603               rcl                                          (80.95 59.055)        R90
R86      1K               R0603               rcl                                          (67.615 55.245)       R270
R87      1K               R0603               rcl                                          (72.3775 55.245)      R270
R88      1K               R0603               rcl                                          (76.8225 55.245)      R270
R89      1K               R0603               rcl                                          (80.95 55.245)        R270
R90      330              R0603               rcl                                          (63.4875 39.37)       R270
R91      330              R0603               rcl                                          (65.71 39.37)         R270
R92      330              R0603               rcl                                          (67.9325 39.37)       R270
R93      330              R0603               rcl                                          (70.155 39.37)        R270
R94      10K              R0603               rcl                                          (50.47 70.485)        MR90
R95      10K              R0603               rcl                                          (54.28 70.485)        MR90
R96      10K              R0603               rcl                                          (58.09 70.485)        MR90
R97      10K              R0603               rcl                                          (61.9 70.485)         MR90
R98      330              R0603               rcl                                          (47.93 66.04)         R0
R99      330              R0603               rcl                                          (52.375 66.04)        R0
R100     330              R0603               rcl                                          (56.82 66.04)         R0
R101     330              R0603               rcl                                          (61.265 66.04)        R0
R102     100              R0603               rcl                                          (48.9075 59.055)      R90
R103     100              R0603               rcl                                          (53.3525 59.055)      R90
R104     100              R0603               rcl                                          (57.7975 59.055)      R90
R105     100              R0603               rcl                                          (62.2425 59.055)      R90
R106     1K5              R0603               rcl                                          (41.8975 54.61)       R180
R107     1K5              R0603               rcl                                          (41.8975 52.705)      R180
R108     1K5              R0603               rcl                                          (41.8975 50.8)        R180
R109     1K5              R0603               rcl                                          (41.8975 48.895)      R180
R110     4K7              R0603               rcl                                          (47.0025 59.055)      R90
R111     4K7              R0603               rcl                                          (51.4475 59.055)      R90
R112     4K7              R0603               rcl                                          (55.8925 59.055)      R90
R113     4K7              R0603               rcl                                          (60.3375 59.055)      R90
R114     1K               R0603               rcl                                          (53.01 55.245)        R270
R115     1K               R0603               rcl                                          (55.55 55.245)        R270
R116     1K               R0603               rcl                                          (58.09 55.245)        R270
R117     1K               R0603               rcl                                          (60.63 55.245)        R270
R118     330              R0603               rcl                                          (54.5975 39.37)       R270
R119     330              R0603               rcl                                          (56.82 39.37)         R270
R120     330              R0603               rcl                                          (59.0425 39.37)       R270
R121     330              R0603               rcl                                          (61.265 39.37)        R270
SJ1      SOLDERJUMPERNC   SJ_2S               SparkFun-Passives                            (60.63 4.445)         MR90
SJ2      SOLDERJUMPERNC   SJ_2S               SparkFun-Passives                            (96 10)               R270
SJ3      SOLDERJUMPERNC   SJ_2S               SparkFun-Passives                            (4 10)                R270
SJ4      SOLDERJUMPERNC   SJ_2S               SparkFun-Passives                            (4 69.365)            R90
SJ5      SOLDERJUMPERNC   SJ_2S               SparkFun-Passives                            (95.999 70.081)       R90
SW1      B3FS-1015        B3FS                Switch_SMT                                   (9.52 40.155)         R0
SW2      B3FS-1015        B3FS                Switch_SMT                                   (9.52 30.955)         R0
T2       IRLML5103TRPBF   SOT95P240X112-3N    International_Rectifier_By_element14_Batch_1 (43.485 69.215)       R90
T3       MMBT2222AL       SOT?23              transistor                                   (43.4975 63.4875)     R270
T4       IRLML5103TRPBF   SOT95P240X112-3N    International_Rectifier_By_element14_Batch_1 (68.25 69.215)        R90
T5       IRLML5103TRPBF   SOT95P240X112-3N    International_Rectifier_By_element14_Batch_1 (72.695 69.215)       R90
T6       IRLML5103TRPBF   SOT95P240X112-3N    International_Rectifier_By_element14_Batch_1 (77.14 69.215)        R90
T7       IRLML5103TRPBF   SOT95P240X112-3N    International_Rectifier_By_element14_Batch_1 (81.585 69.215)       R90
T8       MMBT2222AL       SOT?23              transistor                                   (68.25 63.5)          R270
T9       MMBT2222AL       SOT?23              transistor                                   (72.695 63.5)         R270
T10      MMBT2222AL       SOT?23              transistor                                   (77.14 63.5)          R270
T11      MMBT2222AL       SOT?23              transistor                                   (81.585 63.5)         R270
T12      IRLML5103TRPBF   SOT95P240X112-3N    International_Rectifier_By_element14_Batch_1 (47.93 69.215)        R90
T13      IRLML5103TRPBF   SOT95P240X112-3N    International_Rectifier_By_element14_Batch_1 (52.375 69.215)       R90
T14      IRLML5103TRPBF   SOT95P240X112-3N    International_Rectifier_By_element14_Batch_1 (56.82 69.215)        R90
T15      IRLML5103TRPBF   SOT95P240X112-3N    International_Rectifier_By_element14_Batch_1 (61.265 69.215)       R90
T16      MMBT2222AL       SOT?23              transistor                                   (47.93 63.5)          R270
T17      MMBT2222AL       SOT?23              transistor                                   (52.375 63.5)         R270
T18      MMBT2222AL       SOT?23              transistor                                   (56.82 63.5)          R270
T19      MMBT2222AL       SOT?23              transistor                                   (61.265 63.5)         R270
U1       AT24C512C-SSHM-B SOIC127P600X175-8N  atmel                                        (38.405 6.985)        R0
U2       LPC1768FBD100    SOT407-1            NXP                                          (43.73 33.65)         R90
U3       LT3686HDDPBF     DFN300X300X80-11N   lineartechnology                             (82.855 31.115)       R90
U4       LT3686HDDPBF     DFN300X300X80-11N   lineartechnology                             (82.855 12.7)         R90
U5       TC1264-3.3       SOT230P700X180-4N   microchip-6                                  (13.64 6.985)         R270
U6       CD4050BD         SOIC127P600X175-16N ti                                           (30.7975 50.8)        R270
U7       CD4050BD         SOIC127P600X175-16N ti                                           (12.3825 50.8)        R270
X1       FC-135           FC-135              crystal                                      (42.85 20.955)        R0
X2       ASE-12           ASE                 crystal                                      (48.565 20.955)       R0
X3       3000             3000                keystone                                     (25.705 6.35)         MR180
